goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
1,0,0,19,79.17,15,60.0,2,100.0,13,0,76.83,34,69.39,529,4,3,2,7,0,0,0,5,2,0,0,0,0,20,1,189,2,0,0.0,24,45.28,12,34,0,0,2,1,0,50.0,0,0,0.25,0,0,0,Adem Arous,Kasımpaşa,2018238,6063
0,2,0,23,56.1,7,46.67,1,33.33,13,0,87.68,30,53.57,836,9,7,3,13,0,0,0,9,3,0,0,0,0,110,0,534,4,1,25.0,70,70.71,10,13,6,0,7,1,3,0.0,0,0,0.46,0,0,0,Berat Ayberk Özdemir,Başakşehir FK,876857,3086
0,2,0,13,48.15,16,55.17,1,33.33,8,0,82.05,29,51.79,576,4,9,0,7,0,0,0,11,0,0,0,0,0,16,0,224,1,0,0.0,18,46.15,6,33,5,0,1,0,0,0.0,0,1,0.09,0,1,0,Enzo Roco,Fatih Karagümrük,105971,4954
1,3,0,49,59.04,5,41.67,16,76.19,20,1,93.91,54,56.84,992,14,15,9,13,0,0,0,12,0,0,0,0,0,116,3,463,18,1,14.29,13,72.22,0,9,6,1,15,2,4,6.67,0,0,0.71,0,0,0,Maestro,Alanyaspor,1002146,6362
1,4,0,24,48.98,21,51.22,4,66.67,14,2,89.88,45,50.0,888,6,20,0,10,0,0,0,13,3,0,0,0,0,52,1,462,4,1,14.29,31,59.62,13,47,3,0,7,1,0,14.29,0,0,0.53,0,0,0,Adil Demirbağ,Konyaspor,787949,3085
2,3,0,49,50.52,13,59.09,7,30.43,24,1,84.59,62,52.1,899,19,22,7,15,0,0,0,3,2,0,0,0,0,101,1,302,12,11,21.15,12,50.0,6,8,4,1,13,3,0,15.38,0,0,1.24,0,0,1,Archie Brown,Fenerbahçe,1009738,3052
2,6,0,46,58.23,35,45.45,4,80.0,31,1,89.17,81,51.92,1345,11,29,2,15,0,0,0,19,2,0,0,0,0,53,0,601,6,0,0.0,48,58.54,36,117,3,0,7,3,1,28.57,1,0,0.79,0,1,0,Samet Akaydın,Çaykur Rizespor,863600,3064
0,3,0,75,62.5,9,40.91,22,50.0,19,3,87.02,84,59.15,1290,34,9,5,15,0,0,0,10,3,0,0,0,0,105,5,523,19,6,30.0,21,65.63,10,35,9,0,20,4,9,0.0,0,3,0.54,0,0,0,Mustafa Eskihellaç,Trabzonspor,899069,3051
0,4,0,73,51.77,7,38.89,8,44.44,42,0,79.26,80,50.31,1416,23,25,17,16,0,0,0,21,1,0,0,0,0,169,2,623,32,29,31.87,46,41.07,20,15,17,2,19,5,5,0.0,0,1,1.14,0,0,0,Kerem Demirbay,Eyüpspor,142619,7040
0,2,0,30,55.56,27,60.0,4,66.67,16,0,91.96,57,57.58,990,12,10,6,11,0,0,0,11,1,0,0,0,0,62,1,606,3,1,33.33,27,50.94,7,61,6,0,4,0,1,0.0,0,0,0.25,0,0,1,Léo Duarte,Başakşehir FK,839982,3086
2,4,0,62,45.26,19,44.19,15,44.12,28,1,65.95,81,45.0,1390,19,28,13,16,0,0,0,7,2,0,0,0,0,60,1,153,12,7,25.0,6,26.09,32,45,18,1,12,2,3,16.67,0,0,1.52,0,0,0,Arda Kurtulan,Göztepe,1063395,3054
6,2,0,28,41.18,44,49.44,4,44.44,3,0,64.38,72,45.86,1090,22,15,18,13,0,0,0,17,4,0,0,0,0,38,0,94,8,0,0.0,6,100.0,0,16,3,7,32,12,7,18.75,1,2,5.13,0,0,0,German Onugkha,Kayserispor,928418,3072
1,5,0,55,61.11,6,31.58,18,62.07,23,1,87.89,61,55.96,912,14,13,5,12,0,0,0,5,2,0,0,0,0,109,2,392,10,8,38.1,17,45.95,13,14,7,0,3,2,0,33.33,0,0,0.09,0,0,0,Nélson Semedo,Fenerbahçe,252821,3052
0,1,0,32,56.14,1,16.67,15,57.69,7,1,84.47,33,52.38,635,10,5,5,9,0,0,0,6,1,0,0,0,0,81,2,174,18,20,36.36,13,76.47,1,2,6,0,18,7,6,0.0,0,1,0.87,0,0,0,Yusuf Sarı,Başakşehir FK,896364,3086
0,0,0,5,83.33,0,0.0,0,0.0,3,0,85.71,5,83.33,42,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,12,0,0,0.0,2,66.67,1,1,0,0,0,0,0,0.0,0,0,,0,0,0,Oghenekaro Etebo,Gençlerbirliği,839110,7802
0,0,0,0,0.0,0,0.0,0,0.0,0,0,69.23,0,0.0,23,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,9,0,0,0.0,5,55.56,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Sokratis Dioudis,Gaziantep FK,173933,5138
